id,transliteration,translation
0,ha-bu-ul a-hi-kà lua-na-kam lu i-na GANA-lim su-qu-ul-ma X_1 a-lik-ma X_3 KÙ.BABBAR-ap a-hi-kà le-qé su-ma KÙ.BABBAR-ap X_0 la-su i-na na-ru-qi-kà su-qul,"Pay the debt of your brother, both Y_1 and Y_3 and then go and take Y_0 again out of your brother's silver. If there is no silver belonging to your brother, then pay out of your joint-stock capital."
1,X_2 X_0 KU ka-ru-pa-am i-sé-er I-di-a-bi4-im Ku-la i-su is-tù ha-mu-us-tim sa su X_3 Su kà lia a-na 25 ha-am-sa-tim X_4 A-limé i-la-ak-ma is-ti um-mi-a-ni-su X_1 X_1 KÙ.GI su'-mi Ku la i la pa at,Y_2 Y_0 8 minas of refined silver to Kula. Reckoned from the Y_3 of Hapi-ahsu and Sukallia he must Y_4 to the City within Y_1 Y_1 and together with his investors he must write Kula's name for 2 minas of gold.
3,la li-bi i-li-ma a-bu-ni : me-et X_0 SCaI-ma-A-sur a-bu-ni a-ta X_1 X_1 a-na ti-ir-ti; a-bi4-ni i-hi-rid-ma za-ki-i,"Sadly, our father has died. It Y_0 not Salim-Assur who Y_1 Y_1 father, it is you who are our father. Take care there of our father's instructions and clear the affair."
4,"X_1 X_0 KÙ.BABBAR ti-ri i-sé-erA-Mr-ták-laa-ku DUMU I-ku-pi-a DUMU A-Mr-tank-la-ku sla É U ku-ub-tù-ru-us A s""ùr DUMU A sùr ma lilt i-su",Y_1 Y_0 minas of tiri-silver to Iddin-Assur son of Assur-malik
5,ha-bu-ul : X_1 : lua-na-kam : lu i-na GANA-lim su-qu-ul-ma ù a-lik-ma : X_0 KÙ.BABBAR-ap a-h i-kà : le-qé,"Pay the Y_1 of your brother, both here and abroad, and then go Y_0 take it again out of your brother's silver"
6,su-ma[KÙ.BABAR]-ap a-hi-kàla-su X_0 na-ru-qi-kà : su-qul,"If there Y_0 no silver belonging to your brother, then pay out of your joint-stock capital"
7,X_1 X_0 KU ka-ru-pa-[am] i-sé-er I-di-a- bi4 -im Ku-la,Y_1 Y_0 8 minas of refined silver to Kula
8,i-su is-tù . ha-mu-us-tim sa su ù Su kà lia a-na 25 ha-am-sa-/tim X_2 A-limé i-la-ak-ma is-ti um-mi-a-ni-su X_0 X_0 KÙ.GI su'-mi . Ku la i la pa at,Reckoned from the week of Hapi-ahsu and Sukallia he must go to the Y_2 within 25 weeks and Y_0 Y_0 his investors he must write Kula's name for 2 minas of gold
11,X_0 ha-ra-na-tum,Y_0 if the roads (were blocked)
12,URUDU pi-ha-ru,"copper, refined"
13,X_0 X_0 1/2 GO UR UD U 1 ma-na KÙ.BABBAR,"Y_0 Y_0 1/2 talents copper, 1 mina silver"
16,X_0 li-bi-led,Y_0 to break your heart
17,2 GU URUDU,2 talents copper
18,a-na -şur-si-[Istar qi-bi-ma],Say to Aşur-si-Istar
19,um-ma İ-ku-pi-a-[ma],Thus says Ikuppia
21,X_0 KU.BABBAR,Y_0 of silver
22,GIN KU.BABBAR,shekel of silver
26,kà-ru-um E-lu-itu-ut šà-he-er,kârum Eluitu of the junior (merchants)
27,kà-ru-um Té ga-ra-ma,kârum Tgarama
28,a-na a-wa-tim a-ni-a-tim a-li-ku-6 X_0 kà-ru-um Su-pu-lu-li-a,"regarding this matter, to Y_0 kârum Supullilia"
29,um-ma wabartumtum šà Bu-ru-dim-ma,esartumtum šà Buruddim
30,wabartumtum šà Si-ma-tâ,esartumtum šà Simala
31,kà-ru-um A-bu-u[m],kârum Abum
32,kà-ru-um Bu-ru-dum,kârum Buruddum
